A1.1	S1.1	Definir	Reformular narrativa / big idea / mecanismo único		f		candidate	3
A1.2	S1.1	Escribir	Escribir guion de venta largo (VSL/PSL/SL/TSL)		f		candidate	4
A1.3	S1.2	Definir	Adaptar/empaquetar oferta a un formato		f		candidate	2
A1.4	S1.1	Producir/Crear	Graficar escalera de valor		f		candidate	0
A1.5	S1.1	Revisar/Aprobar	Revisar y aprobar narrativa (gate)		t		candidate	1
A1.6	S1.1	Definir	Definir ángulo de comunicación / posicionamiento		f		candidate	2
A10.1	S10.1	Coordinar/Seguir	Aterrizar acta → tareas en plataforma		f		candidate	0
A10.2	S10.1	Coordinar/Seguir	Seguimiento/chase de entregable		f		candidate	5
A10.3	S10.1	Medir/Analizar	Entregar reportes semanales de reuniones		f		candidate	0
A10.4	S10.2	Gestionar acceso	Organizar/separar espacios de gestión		f		candidate	0
A10.5	S10.1	Coordinar/Seguir	Coordinar/agendar reunión (agenda, asistentes, grabación)		f		candidate	6
A11.1	S11.1	Producir/Crear	Desarrollar feature de Paralelo (vistas por estado/miembro/cliente, taskboards, uploads de Drive)		f		candidate	3
A11.2	S11.2	Integrar	Integrar sistema externo con Paralelo (Stripe/Biturbo/Cloud/Notion/Drive)		f		candidate	2
A11.3	S11.2	Configurar	Implementar tracking de origen de ventas (VSL/orgánico/CTR)		f		candidate	2
A11.4	S11.3	Producir/Crear	Construir herramienta de IA / knowledge (Ask the Graph / skills)		f		candidate	0
A12.1	S12.1	Definir	Definir cuotas y objetivos de ventas (semanales/mensuales)		f		candidate	0
A12.2	S12.1	Capacitar	Alinear/capacitar a los closers (discurso, expectativas, desempeño)		f		candidate	2
A12.3	S12.2	Definir	Diseñar protocolo de manejo de objeciones		f		candidate	0
A12.4	S12.2	Medir/Analizar	Analizar/mejorar retención y ascensión entre niveles (Academy→Mastermind)		f		candidate	2
A12.5	S12.3	Medir/Analizar	Modelar forecast de ingresos		f		candidate	1
A12.6	S12.4	Gestionar acceso	Proveer data de trading a closers		f		candidate	1
A12.7	S12.2	Configurar	Implementar encuesta de satisfacción/seguimiento de clientes		f		candidate	1
A2.1	S2.1	Definir	Definir/mapear ángulos y formatos de anuncios		f		candidate	3
A2.2	S2.1	Escribir	Escribir copy de un lote de anuncios		f		candidate	15
A2.3	S2.1	Producir/Crear	Crear variaciones de hooks		f		candidate	3
A2.4	S2.1	Grabar	Grabar reels/videos de anuncio con talento		f		candidate	16
A2.5	S2.2	Editar	Editar audio/video de anuncios		f		candidate	84
A2.6	S2.1	Producir/Crear	Producir anuncios con IA / voz IA		f		candidate	3
A2.7	S2.1	Coordinar/Seguir	Coordinar/seguir grabación con talento		f		candidate	4
A2.8	S2.3	Producir/Crear	Diseñar pieza gráfica / estático		f		candidate	6
A2.9	S2.3	Producir/Crear	Diseñar presentación / diapositivas		f		candidate	2
A3.1	S3.1	Optimizar	Optimizar campañas (apagar perdedores / escalar ganadores)		f		candidate	3
A3.2	S3.1	Optimizar	Ajustar presupuestos de pauta		f		candidate	4
A3.3	S3.2	Configurar	Montar estructura publicitaria (ciclo)		f		candidate	4
A3.4	S3.1	Medir/Analizar	Monitorear rendimiento de anuncios		f		candidate	3
A3.5	S3.1	Configurar	Apagar campañas/funnels obsoletos		f		candidate	0
A3.6	S3.2	Producir/Crear	Documentar estructura de campañas (Loom)		f		candidate	1
A4.1	S4.1	Producir/Crear	Producir reels orgánicos (cadencia)		f		candidate	5
A4.2	S4.2	Definir	Diseñar estrategia de historias (CTAs/secuencias/horarios)		f		candidate	3
A4.3	S4.3	Optimizar	Optimizar perfil (posts anzuelo fijados, destacados)		f		candidate	0
A4.4	S4.2	Definir	Desarrollar ángulos de contenido orgánico		f		candidate	3
A4.5	S4.1	Coordinar/Seguir	Hacer cumplir horarios de publicación (enforcement)		f		candidate	0
A4.6	S4.1	Escribir	Escribir reels anzuelo		f		candidate	0
A5.1	S5.1	Coordinar/Seguir	Sourcing de testimonios (identificar/solicitar)		f		candidate	2
A5.2	S5.1	Grabar	Grabar testimonios		f		candidate	2
A5.3	S5.2	Editar	Editar testimonios		f		candidate	3
A5.4	S5.2	Publicar	Publicar testimonios		f		candidate	0
A5.5	S5.3	Configurar	Estructurar registro de casos de éxito (con trazabilidad financiera)		f		candidate	3
A6.1	S6.1	Configurar	Implementar/configurar ManyChat		f		candidate	9
A6.2	S6.1	Configurar	Configurar tags por etapa de conciencia		f		candidate	0
A6.3	S6.1	Configurar	Implementar sistema de audios CTO		f		candidate	1
A6.4	S6.2	Capacitar	Capacitar setters		f		candidate	1
A6.5	S6.2	Coordinar/Seguir	Agendar llamadas (setter, cadencia)		f		candidate	3
A6.6	S6.1	Configurar	Diagnosticar/resolver fallas de chat		f		candidate	0
A6.7	S6.3	Medir/Analizar	Investigar avatar / inteligencia de leads		f		candidate	1
A7.1	S7.1	Producir/Crear	Crear/duplicar landing page		f		candidate	7
A7.2	S7.2	Configurar	Implementar checkout (Hotmart/GHL)		f		candidate	0
A7.3	S7.3	Configurar	Configurar VSL A/B (Biturbo)		f		candidate	5
A7.4	S7.1	Producir/Crear	Construir/actualizar página de testimonios		f		candidate	3
A7.5	S7.2	Integrar	Integrar pasarela de pagos		f		candidate	1
A7.6	S7.1	Optimizar	Editar/optimizar página del funnel (survey, agenda, velocidad de carga)		f		candidate	9
A7.7	S7.4	Producir/Crear	Crear/editar lead magnet (guía, video, quiz)		f		candidate	3
A7.8	S7.4	Producir/Crear	Construir funnel gamificado (quiz): flujo, contenido y página		f		candidate	1
A8.1	S8.1	Integrar	Alinear data de métricas entre sistemas		f		candidate	6
A8.2	S8.3	Medir/Analizar	Ingeniería inversa de conversiones		f		candidate	2
A8.3	S8.2	Medir/Analizar	Limpiar / de-duplicar números de ventas		f		candidate	2
A8.4	S8.4	Definir	Definir métricas/KPIs y modelar volúmenes		f		candidate	1
A8.5	S8.4	Medir/Analizar	Especificar/entregar reportes requeridos		f		candidate	1
A8.6	S8.3	Medir/Analizar	Medir indicador puntual (AOV, origen de venta)		f		candidate	0
A9.1	S9.1	Definir	Mapear estrategia de lanzamiento (mensajes, fases, grupos, diseño, landing)		f		candidate	2
A9.2	S9.1	Definir	Mapear masterclass (correos, mensajes, cronograma)		f		candidate	6
A9.3	S9.2	Definir	Diseñar dinámica de cierre de mes (pico de ventas)		f		candidate	0
A9.4	S9.3	Escribir	Escribir copy/flujo de secuencia de mensajería		f		candidate	21
A9.5	S9.3	Configurar	Programar/automatizar secuencia de mensajería		f		candidate	15
A9.6	S9.3	Coordinar/Seguir	Gestionar ciclo de grupos/comunidades de lanzamiento		f		candidate	10
A9.7	S9.3	Gestionar acceso	Configurar canal/infraestructura de mensajería		f		candidate	4
